"","num","A_Year_Built","A_Construction_Quality","A_Building_Condition","A_HVAC","A_Building_Type","A_Gross_Building_Area","A_Net_Leaseable_Area"
"136",50468120,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"137",50468130,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"138",50468140,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"139",50468150,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"140",50468160,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"141",50468170,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"142",50468180,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"143",50468190,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"144",50468200,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"145",50468210,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"146",50468220,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"147",50468230,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"148",50468240,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"149",50468250,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"150",50468260,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"151",50468270,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"152",50468280,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"153",50468290,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"154",50468300,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"155",50468310,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"156",50468320,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"157",50468330,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"158",50468340,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"159",50468350,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"160",50468360,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
"161",50468370,"1961","GOOD","GOOD","CENTRAL AIR TO AIR","CONDO > 3 STORIES",NA,NA
