"","num","A_Sales_Year","A_Sales_Value"
"469","50467800","04/08/2011","$0"
"470","50467800","04/08/2011","$0"
"471","50467800","12/29/2010","$115,500"
"472","50467800","06/04/2010","$232,807"
"473","50467800","07/30/2004","$220,000"
"474","50467800","08/28/2001","$111,100"
"475","50467800","07/22/1997","$0"
"476","50467810","11/27/1996","$48,500"
"477","50467810","05/23/1995","$60,000"
"478","50467810","04/25/1985","$64,020"
"479","50467820","01/22/2021","$255,000"
"480","50467820","09/30/2011","$144,200"
"481","50467820","05/12/2011","$135,000"
"482","50467820","02/06/2007","$0"
"483","50467820","10/26/2004","$201,000"
"484","50467820","03/18/2004","$156,000"
"485","50467820","05/23/1985","$81,500"
"486","50467830","06/27/2018","$195,407"
"487","50467830","03/06/2018","$182,250"
"488","50467830","08/11/2017","$166,419"
"489","50467830","10/27/2009","$180,000"
"490","50467830","12/15/1989","$85,000"
"491","50467830","06/20/1985","$82,500"
"492","50467830","09/26/1984","$0"
"493","50467840","06/15/2010","$142,000"
"494","50467840","04/15/2004","$140,000"
"495","50467840","01/11/2002","$59,500"
"496","50467840","07/18/1985","$72,500"
"497","50467850","11/02/2009","$146,848"
"498","50467850","05/01/1985","$72,500"
"499","50467850","09/26/1984","$0"
"500","50467860","08/27/2021","$300,000"
"501","50467860","02/01/2005","$200,000"
"502","50467860","05/28/1985","$80,850"
"503","50467860","09/26/1984","$0"
"504","50467870","05/12/2002","$60,500"
"505","50467870","07/18/1985","$75,395"
"506","50467870","09/26/1984","$0"
"507","50467880","12/19/2023","$247,000"
"508","50467880","08/19/2002","$68,000"
"509","50467880","12/27/1989","$0"
"510","50467880","04/30/1985","$68,875"
"511","50467890","10/05/2022","$206,250"
"512","50467890","02/06/2007","$0"
"513","50467890","08/20/1999","$38,000"
"514","50467890","01/01/1987","$0"
"515","50467890","05/01/1985","$73,000"
"516","50467900","11/15/2019","$219,300"
"517","50467900","09/16/2003","$132,000"
"518","50467900","06/14/1985","$82,900"
"519","50467900","09/26/1984","$0"
"520","50467910","03/22/2001","$58,000"
"521","50467910","06/06/1985","$80,262"
"522","50467910","09/26/1984","$0"
"523","50467920","08/20/2018","$158,000"
"524","50467920","09/26/2016","$130,000"
"525","50467920","02/16/2016","$105,677"
"526","50467920","01/28/1995","$0"
"527","50467920","08/02/1989","$73,000"
"528","50467920","05/02/1989","$61,000"
"529","43144000","01/31/1985","$0"
"530","43144000","10/01/1984","$3,533,000"
"531","43144000","09/26/1984","$0"
"532","43144000","06/30/1983","$5,440,000"
"533","43144000","01/01/1942","$0"
"534","50467930","05/21/2010","$0"
"535","50467930","04/30/2001","$75,000"
"536","50467930","01/31/1996","$0"
"537","50467930","06/17/1985","$83,202"
"538","50467940","05/23/2018","$205,000"
"539","50467940","01/11/2012","$128,900"
"540","50467940","04/03/2006","$0"
"541","50467940","03/10/2000","$48,000"
"542","50467940","12/03/1999","$35,000"
"543","50467940","07/23/1999","$30,500"
"544","50467950","04/24/2006","$213,000"
"545","50467950","09/23/2002","$56,000"
